depth, lr, alpha, r2, mse, mae
3,0.01,0.01,0.7365880194992668,5.620705169447988,1.7494003785011079
3,0.01,0.1,0.7365654986913741,5.621153942669642,1.749551538370968
3,0.01,1,0.7362422222488788,5.627262851552694,1.7507175744125214
3,0.05,0.01,0.7481284598882032,5.358491537575492,1.6795619154337014
3,0.05,0.1,0.7480710316027298,5.359435054632525,1.679200639952844
3,0.05,1,0.7479161039502431,5.362516568423655,1.6819621003249052
3,0.1,0.01,0.7387187261343557,5.5524680366811205,1.688279224321895
3,0.1,0.1,0.738543211193915,5.556043830742606,1.6886624028019566
3,0.1,1,0.7393991278933283,5.538874124358502,1.6871197491563097
   5,0.01,0.01,0.7515866972437889,5.276293828357038,1.667746554541813
   5,0.01,0.1,0.7515810035405642,5.27635878608936,1.667890202276542
   5,0.01,1,0.7510560376836075,5.287723137845532,1.6703453732868823
5,0.05,0.01,0.7323511797497889,5.684952633848879,1.6855824754306936
5,0.05,0.1,0.7319957214342598,5.69239494326748,1.6863753298135773
5,0.05,1,0.7315458832934426,5.70242516877126,1.6882871548475409
5,0.1,0.01,0.7073796352676088,6.242301393403515,1.7551177323029652
5,0.1,0.1,0.7078223982783068,6.229111819157006,1.7521353017759347
5,0.1,1,0.7086310018818347,6.212655783346962,1.7487726178252117
7,0.01,0.01,0.7479355615754834,5.349735951084981,1.6541488654754395
7,0.01,0.1,0.7479520065413746,5.349714183711794,1.654333430452106
7,0.01,1,0.7475906281397062,5.358392767872851,1.6569245715633407
7,0.05,0.01,0.7109138000389371,6.166520376606827,1.729959749051714
7,0.05,0.1,0.7105810040909011,6.172723826710404,1.7307122180576526
7,0.05,1,0.710906596389579,6.167035841717428,1.7306994454486293
7,0.1,0.01,0.6914314000154036,6.607382979855259,1.7762598696696328
7,0.1,0.1,0.6917904130341657,6.599184559240717,1.7743207716080611
7,0.1,1,0.6946407334466342,6.5356096979744205,1.7688874746429646
